ID_Atividade;Versão;ID_Projeto;Código_Projeto;Código_Projeto:Código_Projeto;Descrição_Atividade;Conclusão_Atividade;Gestor_Atividade;Data_Início;Data_Fim;Duração_Atividades;Documentos_Associados;Código_Projeto:ID;Código_Projeto:ID_Projeto;Tipo_Atividade;Modificado;Modificado por;Evento_IntervençãoCOM
AT/001/PR/001/2023;10.0;Estímulo à Investigação e Desenvolvimento e o Emprego Científico;50;PR/001/2023;Aprovação pela Estrutura de Missão Recuperar Portugal (PRR) ;Sim;;01/03/2023;31/07/2023;152;0;50;Linha de Projetos Anuais de Ciência para a Política Pública;Atividade;26/09/2023 08:19;Susana Sobral;False
AT/002/PR/001/2023;13.0;Estímulo à Investigação e Desenvolvimento e o Emprego Científico;50;PR/001/2023;Assinatura do termo adicional/contrato-programa com a FCT relativo à iniciativa;Sim;;01/03/2023;29/09/2023;212;0;50;Linha de Projetos Anuais de Ciência para a Política Pública;Entregável;26/09/2023 08:19;Susana Sobral;False
AT/003/PR/001/2023;12.0;Estímulo à Investigação e Desenvolvimento e o Emprego Científico;50;PR/001/2023;Definição dos temas a concurso em colaboração com os parceiros do PlanAPP;Sim;;03/04/2023;31/07/2023;119;0;50;Linha de Projetos Anuais de Ciência para a Política Pública;Entregável;26/09/2023 08:20;Susana Sobral;False
AT/001/PR/012/2022;9.0;Teletrabalho - aquisição de meios de trabalho;21;PR/012/2022;Aquisição de postos de trabalho;Sim;Cesar Rosa;09/12/2022;27/12/2022;18;0;21;Teletrabalho - aquisição de meios de trabalho;Entregável;25/09/2023 07:28;João Pinto Dutra;False
AT/002/PR/012/2022;9.0;Teletrabalho - aquisição de meios de trabalho;21;PR/012/2022;Encerramento de projeto;Sim;Ana Figueiredo;06/02/2023;06/03/2023;28;0;21;Teletrabalho - aquisição de meios de trabalho;Marco;26/09/2023 08:27;César Rosa;False
AT/001/PR/013/2022;9.0;Sistema integrado de gestão;10;PR/013/2022;Mapeamento de processos;Não;;23/08/2022;31/03/2023;220;0;10;Sistema integrado de gestão;Atividade;12/10/2023 03:02;João Pinto Dutra;False
AT/001/PR/049/2022;14.0;Agência de comunicação;57;PR/049/2022;Orientação técnica sobre dados pessoais;Sim;Maria João;01/03/2022;29/03/2022;28;0;57;Proteção de dados Pessoais;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/002/PR/049/2022;14.0;Agência de comunicação;57;PR/049/2022;Política de Privacidade e Responsabilidade do Site;Sim;Helena Martelo;01/03/2022;27/04/2022;57;0;57;Proteção de dados Pessoais;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/003/PR/049/2022;13.0;Agência de comunicação;57;PR/049/2022;Criação de templates para pedido de consentimento em eventos;Sim;Helena Martelo;13/04/2022;13/05/2022;30;0;57;Proteção de dados Pessoais;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/004/PR/049/2022;12.0;Agência de comunicação;57;PR/049/2022;Mapeamento de dados pessoais;Não;Helena Martelo;11/10/2022;04/11/2022;24;0;57;Proteção de dados Pessoais;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/005/PR/049/2022;12.0;Agência de comunicação;57;PR/049/2022;Programa de formação;Não;Maria João;11/10/2022;31/12/2022;81;0;57;Proteção de dados Pessoais;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/002/PR/059/2022;6.0;Repositório de avaliação de políticas;97;PR/059/2022;     Notas de análise sobre evidências da avaliação;Sim;;01/06/2022;01/06/2022;0;0;97;Repositório de avaliação de políticas;Entregável;12/10/2023 04:14;João Pinto Dutra;False
AT/002/PR/063/2022;8.0;Ferramentas e Recursos de Acompanhamento e Monitorização;100;PR/063/2022;     Apresentação PlanAPP XXIII Governo Constitucional;Cancelado;Ana Costa;21/03/2022;31/03/2022;10;0;100;Ferramentas e Recursos de Acompanhamento e Monitorização;Evento;12/10/2023 04:15;João Pinto Dutra;False
AT/003/PR/063/2022;7.0;Ferramentas e Recursos de Acompanhamento e Monitorização;100;PR/063/2022;     Encontro Políticas Públicas;Cancelado;Rita Costa;04/04/2022;16/05/2022;42;0;100;Ferramentas e Recursos de Acompanhamento e Monitorização;Entregável;12/10/2023 04:15;João Pinto Dutra;False
AT/004/PR/063/2022;7.0;Ferramentas e Recursos de Acompanhamento e Monitorização;100;PR/063/2022;     Dashboard dos resultados Inquérito de Satisfação PlanAPP;Cancelado;Alexandre Amado;29/03/2022;29/04/2022;31;0;100;Ferramentas e Recursos de Acompanhamento e Monitorização;Entregável;12/10/2023 04:15;João Pinto Dutra;False
AT/005/PR/063/2022;8.0;Ferramentas e Recursos de Acompanhamento e Monitorização;100;PR/063/2022;     Participação na Conferência EGPA;Cancelado;Alexandre Amado;29/04/2022;29/04/2022;0;0;100;Ferramentas e Recursos de Acompanhamento e Monitorização;Evento;12/10/2023 04:15;João Pinto Dutra;False
AT/006/PR/063/2022;7.0;Ferramentas e Recursos de Acompanhamento e Monitorização;100;PR/063/2022;    Os Objetivos de Desenvolvimento Sustentável em Portugal;Cancelado;Ana Costa;06/04/2022;30/05/2022;54;0;100;Ferramentas e Recursos de Acompanhamento e Monitorização;Atividade;12/10/2023 04:15;João Pinto Dutra;False
AT/001/PR/068/2022;6.0;Glossário;105;PR/068/2022;     Desenho e levantamento com as UT;Não;;01/03/2022;30/06/2022;121;0;105;Glossário;Atividade;12/10/2023 04:17;João Pinto Dutra;False
AT/002/PR/068/2022;6.0;Glossário;105;PR/068/2022;     Apresentação de draft à Direção;Não;;14/07/2022;14/07/2022;0;0;105;Glossário;Marco;12/10/2023 04:17;João Pinto Dutra;False
AT/002/PR/069/2022;7.0;Cultura do Conhecimento;106;PR/069/2022;     Elaboração de brochura informativa;Não;Maria João Ferreira;01/05/2022;03/05/2022;2;0;106;Cultura do Conhecimento;Atividade;12/10/2023 04:17;João Pinto Dutra;False
AT/003/PR/069/2022;7.0;Cultura do Conhecimento;106;PR/069/2022;     Realização de eventos de divulgação ;Não;Alice Lourenço;25/02/2022;15/05/2022;79;0;106;Cultura do Conhecimento;Evento;12/10/2023 04:17;João Pinto Dutra;False
AT/001/PR/070/2022;13.0;Programa on job;107;PR/070/2022;     Elaboração de orientações metodológicas;Sim;Alice Lourenço;01/04/2022;15/04/2022;14;0;107;Programa on job;Atividade;12/10/2023 04:18;João Pinto Dutra;False
AT/002/PR/070/2022;8.0;Programa on job;107;PR/070/2022;     Construção de instrumentos de recolha de dados;Sim;Alice Lourenço;01/04/2023;15/04/2023;14;0;107;Programa on job;Atividade;12/10/2023 04:18;João Pinto Dutra;False
AT/003/PR/070/2022;9.0;Programa on job;107;PR/070/2022;     Criação de CdP - Facilitadores do conhecimento;Sim;Teresa Tameirão;14/04/2022;14/04/2022;0;0;107;Programa on job;Entregável;12/10/2023 04:18;João Pinto Dutra;False
AT/004/PR/070/2022;8.0;Programa on job;107;PR/070/2022;     Reuniões de contextualização e apoio para facilitadores;Sim;Alice Lourenço;04/05/2022;04/05/2022;0;0;107;Programa on job;Evento;12/10/2023 04:18;João Pinto Dutra;False
AT/005/PR/070/2022;8.0;Programa on job;107;PR/070/2022;     Elaboração de formulário de incrição;Sim;Alice Lourenço;06/05/2022;11/04/2022;%23Nome?;0;107;Programa on job;Entregável;12/10/2023 04:18;João Pinto Dutra;False
AT/006/PR/070/2022;8.0;Programa on job;107;PR/070/2022;     Execução: monitorização e reportes ;Sim;Alice Lourenço;11/05/2022;25/06/2022;45;0;107;Programa on job;Atividade;12/10/2023 04:18;João Pinto Dutra;False
AT/007/PR/070/2022;8.0;Programa on job;107;PR/070/2022;     Avaliação: Questionário, análise de dados e elaboração de relatório;Sim;Alice Lourenço;27/06/2022;30/06/2022;3;0;107;Programa on job;Entregável;12/10/2023 04:18;João Pinto Dutra;False
AT/001/PR/071/2022;6.0;Grandes Opções;108;PR/071/2022;     Elaboração e coordenação da proposta de lei das GO;Sim;;01/06/2022;01/06/2022;0;0;108;Grandes Opções 2022-2026;Atividade;12/10/2023 04:21;João Pinto Dutra;False
AT/002/PR/071/2022;6.0;Grandes Opções;108;PR/071/2022;     Produzir documentos de divulgação e eventos (ex: Roteiro das Grandes Opções);Sim;;01/06/2022;01/06/2022;0;0;108;Grandes Opções 2022-2026;Atividade;12/10/2023 04:22;João Pinto Dutra;False
AT/003/PR/071/2022;6.0;Grandes Opções;108;PR/071/2022;     Nota sobre: Grandes Opções: o que são e para que servem;Sim;;01/06/2022;01/06/2022;0;0;108;Grandes Opções 2022-2026;Entregável;12/10/2023 04:22;João Pinto Dutra;False
AT/002/PR/072/2022;8.0;Plano Nacional de Reformas;109;PR/072/2022;     Produzir documentos de divulgação PNR e eventos ;Sim;;01/06/2022;01/06/2022;0;0;109;Plano Nacional de Reformas 2022;Entregável;12/10/2023 04:22;João Pinto Dutra;False
AT/003/PR/072/2022;7.0;Plano Nacional de Reformas;109;PR/072/2022;     Nota sobre: Plano Nacional de Reformas: O que é e para que serve;Sim;;01/06/2022;01/06/2022;0;0;109;Plano Nacional de Reformas 2022;Entregável;12/10/2023 04:22;João Pinto Dutra;False
AT/004/PR/002/2022;8.0;Plano de formação 2022;11;PR/002/2022;Elaboração do Regulamento da Formação     ;Sim;;01/01/2022;31/03/2022;89;0;11;Plano de formação 2022;Entregável;12/10/2023 02:26;João Pinto Dutra;False
AT/005/PR/002/2022;8.0;Plano de formação 2022;11;PR/002/2022;Desenvolvimento de sistema de informação para gestão do Plano;Sim;;01/01/2022;31/03/2022;89;0;11;Plano de formação 2022;Entregável;12/10/2023 02:26;João Pinto Dutra;False
AT/006/PR/002/2022;8.0;Plano de formação 2022;11;PR/002/2022;Definição de procedimentos e elaboração de fluxos ;Sim;;01/01/2022;31/03/2022;89;0;11;Plano de formação 2022;Atividade;12/10/2023 02:25;João Pinto Dutra;False
AT/007/PR/002/2022;7.0;Plano de formação 2022;11;PR/002/2022;Relatório de avaliação do Plano de Formação;Sim;;15/05/2022;12/07/2022;58;0;11;Plano de formação 2022;Entregável;12/10/2023 02:29;João Pinto Dutra;False
AT/008/PR/002/2022;8.0;Plano de formação 2022;11;PR/002/2022;Aprendizagem experiencial (team building);Sim;;02/11/2021;30/05/2022;209;0;11;Plano de formação 2022;Evento;12/10/2023 02:24;João Pinto Dutra;False
AT/009/PR/002/2022;8.0;Plano de formação 2022;11;PR/002/2022;Aprendizagem experiencial (café do conhecimento);Sim;;01/03/2022;27/09/2022;210;0;11;Plano de formação 2022;Evento;12/10/2023 02:24;João Pinto Dutra;False
AT/010/PR/002/2022;8.0;Plano de formação 2022;11;PR/002/2022;Comunidades de Prática;Sim;;10/02/2022;30/09/2022;232;0;11;Plano de formação 2022;Atividade;12/10/2023 02:24;João Pinto Dutra;False
AT/011/PR/002/2022;6.0;Plano de formação 2022;11;PR/002/2022;Avaliação do Programa;Sim;;01/01/2023;31/01/2023;30;0;11;Plano de formação 2022;Entregável;12/10/2023 02:24;João Pinto Dutra;False
AT/003/PR/015/2022;6.0;Sistema de gestão de projetos no PlanAPP;3;PR/015/2022;Formação em Gestão de Projetos;Sim;;01/09/2022;31/12/2022;121;0;3;Sistema de gestão de projetos no PlanAPP;Atividade;12/10/2023 03:26;João Pinto Dutra;False
AT/001/PR/019/2022;5.0;Plano de Comunicação;25;PR/019/2022;Estruturação e elaboração do plano;Sim;;01/06/2022;15/11/2022;167;0;25;Plano de Comunicação;Atividade;12/10/2023 03:38;João Pinto Dutra;False
AT/001/PR/019/2022;5.0;Plano de Comunicação;25;PR/019/2022;Publicação na Intranet;Sim;;28/11/2022;28/11/2022;0;0;25;Plano de Comunicação;Marco;12/10/2023 03:38;João Pinto Dutra;False
AT/002/PR/022/2022;7.0;Perceção Pública de Politicas Públicas;28;PR/022/2022;Ferramentas de análise de conteúdos;Sim;;01/08/2022;31/10/2022;91;0;28;Perceção Pública de Politicas Públicas;Entregável;12/10/2023 03:40;João Pinto Dutra;False
AT/003/PR/022/2022;8.0;Perceção Pública de Politicas Públicas;28;PR/022/2022;Apresentação do protótipo;Sim;;01/11/2022;15/11/2022;14;0;28;Perceção Pública de Politicas Públicas;Marco;12/10/2023 03:40;João Pinto Dutra;False
AT/004/PR/022/2022;7.0;Perceção Pública de Politicas Públicas;28;PR/022/2022;Modelo de Portal de Políticas Públicas;Sim;;01/11/2022;30/11/2022;29;0;28;Perceção Pública de Politicas Públicas;Atividade;12/10/2023 03:40;João Pinto Dutra;False
AT/001/PR/024/2022;10.0;Modelo institucional de avaliação de políticas;31;PR/025/2022;     12.º Congresso Nacional da Administração Pública - artigo científico;Cancelado;;01/10/2022;10/10/2022;9;0;31;Planeamento Público e Democrático;Evento;12/10/2023 04:33;João Pinto Dutra;False
AT/002/PR/024/2022;6.0;Modelo institucional de avaliação de políticas;4;PR/024/2022;     12.º Congresso Nacional da Administração Pública - participar na conferência;Não;;11/11/2022;11/11/2022;0;0;4;Modelo institucional de avaliação de políticas;Marco;12/10/2023 04:33;João Pinto Dutra;False
AT/008/PR/026/2022;8.0;Demografia e Políticas Públicas;34;PR/026/2022;Estudo Custos da Parentalidade;Cancelado;;09/03/2022;31/12/2023;662;0;34;Demografia e Políticas Públicas;Entregável;12/10/2023 03:54;João Pinto Dutra;False
AT/009/PR/026/2022;7.0;Demografia e Políticas Públicas;34;PR/026/2022;Guia para monitorização das Agendas Temáticas;Não;;25/07/2022;31/12/2023;524;0;34;Demografia e Políticas Públicas;Entregável;12/10/2023 03:54;João Pinto Dutra;False
AT/010/PR/026/2022;8.0;Demografia e Políticas Públicas;34;PR/026/2022;"Dashboard ""População em Portugal""";Não;;08/07/2023;31/12/2023;176;0;34;Demografia e Políticas Públicas;Entregável;12/10/2023 03:54;João Pinto Dutra;False
AT/006/PR/033/2022;5.0;Avaliação ex-ante Simplex licenciamentos;41;PR/033/2022;Relatório final sobre trabalho realizado;Não;;01/07/2023;31/10/2023;122;0;41;Avaliação ex-ante dos diplomas em simplificação com Simplex licenciamentos;Entregável;12/10/2023 04:01;João Pinto Dutra;False
AT/002/PR/048/2022;7.0;;52;PR/048/2022;Canal de denúncias;Sim;;15/06/2022;22/07/2022;37;0;52;Prevenção de Riscos de Corrupção e Infrações Conexas;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/002/PR/048/2022;6.0;;52;PR/048/2022;Manual de Gestão e Avaliação de Riscos de Fraude;Não;;15/02/2022;30/06/2023;500;0;52;Prevenção de Riscos de Corrupção e Infrações Conexas;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/002/PR/048/2022;5.0;;52;PR/048/2022;Programa de formação;Não;;15/02/2022;31/12/2022;319;0;52;Prevenção de Riscos de Corrupção e Infrações Conexas;Entregável;12/10/2023 04:11;João Pinto Dutra;False
AT/006/PR/049/2022;5.0;;57;PR/049/2022;Alinhamento com infraestrutura de dados;Não;;01/04/2022;01/04/2022;0;0;57;Proteção de dados Pessoais;Atividade;12/10/2023 04:12;João Pinto Dutra;False
AT/001/PR/051/2022;7.0;;89;PR/051/2022;Licenciamento de software aplicacional por LOTES;Sim;;17/08/2022;21/12/2022;126;0;89;Criação do ambiente tecnológico e aplicacional do PlanAPP;Entregável;26/09/2023 08:10;César Rosa;False
AT/002/PR/051/2022;9.0;;89;PR/051/2022;Licenciamento de software aplicacional SPPS;Sim;;17/08/2022;21/12/2022;126;0;89;Criação do ambiente tecnológico e aplicacional do PlanAPP;Entregável;26/09/2023 08:09;César Rosa;False
AT/003/PR/051/2022;9.0;;89;PR/051/2022;Licenciamento e manutenção da firewall;Sim;;07/11/2022;27/12/2022;50;0;89;Criação do ambiente tecnológico e aplicacional do PlanAPP;Entregável;26/09/2023 08:10;César Rosa;False
AT/004/PR/051/2022;8.0;;89;PR/051/2022;Fornecimento de acesso à Internet;Sim;;03/10/2022;03/03/2023;151;0;89;Criação do ambiente tecnológico e aplicacional do PlanAPP;Entregável;26/09/2023 07:52;César Rosa;False
AT/005/PR/051/2022;7.0;;89;PR/051/2022;Licenciamento O365, serviços cloud;Sim;;12/08/2022;27/03/2024;593;0;89;Criação do ambiente tecnológico e aplicacional do PlanAPP;Entregável;26/09/2023 08:24;César Rosa;False
AT/006/PR/051/2022;8.0;;89;PR/051/2022;Contrato de Unified Enterprise Support Partner Model (Microsoft);Sim;;01/09/2022;26/12/2022;116;0;89;Criação do ambiente tecnológico e aplicacional do PlanAPP;Entregável;26/09/2023 07:49;César Rosa;False
AT/007/PR/051/2022;9.0;;89;PR/051/2022;Licenças EndNote;Sim;;17/08/2022;27/09/2022;41;0;89;Criação do ambiente tecnológico e aplicacional do PlanAPP;Entregável;26/09/2023 08:05;César Rosa;False
AT/008/PR/051/2022;9.0;;89;PR/051/2022;Workplace digital específico para teletrabalho;Sim;;28/11/2022;11/05/2023;164;0;89;Criação do ambiente tecnológico e aplicacional do PlanAPP;Entregável;26/09/2023 08:20;César Rosa;False
AT/009/PR/051/2022;9.0;;89;PR/051/2022;Workplace digital específico para a equipa de comunicação;Sim;;15/09/2022;22/11/2022;68;0;89;Criação do ambiente tecnológico e aplicacional do PlanAPP;Entregável;26/09/2023 08:18;César Rosa;False
AT/010/PR/051/2022;8.0;;89;PR/051/2022;Workplace digital específico para 3 tipos de perfis Avançados, Bases de dados e Mobilidade;Sim;;17/08/2022;05/05/2023;261;0;89;Criação do ambiente tecnológico e aplicacional do PlanAPP;Entregável;26/09/2023 08:26;César Rosa;False
AT/001/PR/053/2022;8.0;;91;PR/053/2022;Elaboração da Carta Ética ;Sim;;01/02/2022;28/02/2022;27;0;91;Instrumentos de suporte à Avaliação de PP;Entregável;12/10/2023 04:12;João Pinto Dutra;False
AT/002/PR/053/2022;9.0;;91;PR/053/2022;Levantamento de recursos existentes e a elaborar em 2023;Sim;;01/10/2022;30/11/2022;60;0;91;Instrumentos de suporte à Avaliação de PP;Atividade;12/10/2023 04:12;João Pinto Dutra;False
AT/003/PR/053/2022;9.0;;91;PR/053/2022;Guia para elaboração da Teoria da Mudança;Sim;;01/02/2022;31/12/2022;333;0;91;Instrumentos de suporte à Avaliação de PP;Entregável;12/10/2023 04:12;João Pinto Dutra;False
AT/004/PR/053/2022;9.0;;91;PR/053/2022;Guia para elaboração dos Termos de Referência;Sim;;01/02/2022;30/04/2022;88;0;91;Instrumentos de suporte à Avaliação de PP;Entregável;12/10/2023 04:12;João Pinto Dutra;False
AT/005/PR/053/2022;8.0;;91;PR/053/2022;Manual sobre avaliação de políticas públicas ;Não;;01/02/2023;30/06/2023;149;0;91;Instrumentos de suporte à Avaliação de PP;Entregável;12/10/2023 04:12;João Pinto Dutra;False
AT/001/PR/059/2022;6.0;;97;PR/059/2022;Organização da informação por agendas/temas de política;Sim;;01/06/2022;01/06/2022;0;0;97;Repositório de avaliação de políticas;Atividade;12/10/2023 04:14;João Pinto Dutra;False
AT/002/PR/059/2022;6.0;;97;PR/059/2022;Notas de análise sobre evidências da avaliação;Sim;;01/06/2022;01/06/2022;0;0;97;Repositório de avaliação de políticas;Entregável;12/10/2023 04:13;João Pinto Dutra;False
AT/001/PR/061/2022;9.0;;99;PR/061/2022;Elaboração de uma proposta de regimento;Sim;;02/11/2021;13/12/2021;41;0;99;Bases para a constituição da RePLAN;Atividade;12/10/2023 04:14;João Pinto Dutra;False
AT/001/PR/063/2022;6.0;;100;PR/063/2022;     Apresentação e Disponibilização Webinares Data VIZ (Europe Academy);Cancelado;;01/01/2022;17/01/2022;16;0;100;Ferramentas e Recursos de Acompanhamento e Monitorização;Evento;12/10/2023 04:16;João Pinto Dutra;False
AT/001/PR/063/2022;7.0;;100;PR/063/2022;    Os Objetivos de Desenvolvimento Sustentável em Portugal;Cancelado;;06/04/2022;30/05/2022;54;0;100;Ferramentas e Recursos de Acompanhamento e Monitorização;Entregável;12/10/2023 04:15;João Pinto Dutra;False
AT/001/PR/064/2022;7.0;;101;PR/064/2022;     Aquisição de licenças Cision e Visapress;Cancelado;;21/01/2022;11/08/2022;202;0;101;Clipping e direitos autorais;Marco;12/10/2023 04:16;João Pinto Dutra;False
AT/002/PR/064/2022;7.0;;101;PR/064/2022;     Disponibilização do clipping na Intranet;Cancelado;;11/08/2022;11/08/2022;0;0;101;Clipping e direitos autorais;Atividade;12/10/2023 04:16;João Pinto Dutra;False
AT/001/PR/065/2022;6.0;;102;PR/065/2022;Desenho e implementação;Sim;;04/02/2022;30/11/2022;299;0;102;Newsletter Externa;Marco;02/10/2023 08:36;Sofia Santos;False
AT/003/PR/065/2022;6.0;;102;PR/065/2022;Lançamento;Sim;;04/01/2023;04/01/2023;0;0;102;Newsletter Externa;Marco;02/10/2023 08:36;Sofia Santos;False
AT/001/PR/066/2022;5.0;;103;PR/066/2022;     Lançamento do canal de Youtube ;Sim;;01/03/2022;01/03/2022;0;0;103;PlanAPP nas redes sociais;Marco;12/10/2023 04:17;João Pinto Dutra;False
AT/002/PR/066/2022;5.0;;103;PR/066/2022;     Lançamento do LinkedIn;Sim;;01/03/2022;01/03/2022;0;0;103;PlanAPP nas redes sociais;Marco;12/10/2023 04:17;João Pinto Dutra;False
AT/001/PR/067/2022;6.0;;104;PR/067/2022;     Concepção e construção da newsletter;Sim;;25/07/2022;09/09/2022;46;0;104;Lançamento da Newsletter Interna;Atividade;29/09/2023 03:50;Sabina Pereira;False
AT/002/PR/067/2022;6.0;;104;PR/067/2022;     Lançamento do primeiro número da newsletter;Sim;;12/09/2022;12/09/2022;0;0;104;Lançamento da Newsletter Interna;Entregável;29/09/2023 03:50;Sabina Pereira;False
AT/001/PR/070/2022;6.0;;107;PR/070/2022;     Construção de instrumentos de recolha de dados;Sim;;01/04/2023;15/04/2023;14;0;107;Programa on job;Atividade;12/10/2023 04:18;João Pinto Dutra;False
AT/001/PR/070/2022;6.0;;107;PR/070/2022;     Criação de CdP - Facilitadores do conhecimento;Sim;;14/04/2022;14/04/2022;0;0;107;Programa on job;Atividade;12/10/2023 04:18;João Pinto Dutra;False
AT/001/PR/070/2022;6.0;;107;PR/070/2022;     Reuniões de contextualização e apoio para facilitadores;Sim;;04/05/2022;04/05/2022;0;0;107;Programa on job;Atividade;12/10/2023 04:18;João Pinto Dutra;False
AT/001/PR/070/2022;6.0;;107;PR/070/2022;     Elaboração de formulário de incrição;Sim;;06/05/2022;11/04/2022;%23Nome?;0;107;Programa on job;Atividade;12/10/2023 04:18;João Pinto Dutra;False
AT/001/PR/070/2022;6.0;;107;PR/070/2022;     Execução: monitorização e reportes ;Sim;;11/05/2022;25/06/2022;45;0;107;Programa on job;Atividade;12/10/2023 04:18;João Pinto Dutra;False
AT/001/PR/070/2022;6.0;;107;PR/070/2022;     Avaliação: Questionário, análise de dados e elaboração de relatório;Sim;;27/06/2022;30/06/2022;3;0;107;Programa on job;Entregável;12/10/2023 04:18;João Pinto Dutra;False
AT/001/PR/070/2022;6.0;;107;PR/070/2022;     Replaneamento 2ª edição ;Sim;;01/09/2022;30/09/2022;29;0;107;Programa on job;Atividade;12/10/2023 04:18;João Pinto Dutra;False
AT/001/PR/072/2022;5.0;;109;PR/072/2022;     Coordenar a elaboração do PNR;Sim;;01/06/2022;01/06/2022;0;0;109;Plano Nacional de Reformas 2022;Atividade;12/10/2023 04:22;João Pinto Dutra;False
AT/001/PR/073/2022;7.0;;110;PR/073/2022;Análise preliminar dos atuais planos e estratégias e Diagnóstico de lacunas a nível sectorial e transversal (Smart Cities);Sim;;01/06/2022;30/12/2022;212;0;110;Sistematização de instrumentos planeamento;Atividade;12/10/2023 04:23;João Pinto Dutra;False
AT/002/PR/073/2022;9.0;;110;PR/073/2022;Historial GO 1974-2021;Sim;;01/06/2022;01/11/2022;153;0;110;Sistematização de instrumentos planeamento;Entregável;12/10/2023 04:23;João Pinto Dutra;False
AT/003/PR/073/2022;7.0;;110;PR/073/2022;Ciclo de Planeamento;Não;;15/10/2023;25/02/2023;%23Nome?;0;110;Sistematização de instrumentos planeamento;Entregável;12/10/2023 04:23;João Pinto Dutra;False
AT/004/PR/073/2022;6.0;;110;PR/073/2022;Projecto OCDE Módulo 4 (incluindo reuniões bi-laterais, workshop Paris, conferência 7 de Novembro em Lisboa, Questionário, Policy brief…);Não;;01/03/2022;20/02/2023;356;0;110;Sistematização de instrumentos planeamento;Atividade;12/10/2023 04:23;João Pinto Dutra;False
AT/001/PR/074/2022;7.0;;111;PR/074/2022;Nota Rápida: Impactos do Conflito Rússia-Ucrânia;Sim;;23/02/2022;08/03/2022;13;0;111;Estudos Prospetivos;Entregável;12/10/2023 04:23;João Pinto Dutra;False
AT/002/PR/074/2022;8.0;;111;PR/074/2022;Debate PlanAPP Impactos do Conflito Rússia-Ucrânia;Sim;;01/05/2022;30/07/2022;90;0;111;Estudos Prospetivos;Evento;12/10/2023 04:23;João Pinto Dutra;False
AT/003/PR/074/2022;8.0;;111;PR/074/2022;Nota rápida: Portugal e Península Ibérica na Segurança Energética da UE: Caso do Gás;Sim;;01/04/2022;30/04/2022;29;0;111;Estudos Prospetivos;Entregável;12/10/2023 04:23;João Pinto Dutra;False
AT/004/PR/074/2022;8.0;;111;PR/074/2022;Nota rápida: Conflito Rússia-Ucrânia - Análise breve das atividades económicas em risco;Sim;;01/04/2022;30/04/2022;29;0;111;Estudos Prospetivos;Entregável;12/10/2023 04:24;João Pinto Dutra;False
AT/005/PR/074/2022;8.0;;111;PR/074/2022;Nota rápida: Impactos importações não energéticas;Sim;;01/05/2022;30/07/2022;90;0;111;Estudos Prospetivos;Entregável;12/10/2023 04:24;João Pinto Dutra;False
AT/006/PR/074/2022;8.0;;111;PR/074/2022;Nota rápida: Impactos Sociais e Políticos da Guerra;Sim;;01/06/2022;30/07/2022;59;0;111;Estudos Prospetivos;Entregável;12/10/2023 04:24;João Pinto Dutra;False
AT/007/PR/074/2022;7.0;;111;PR/074/2022;Nota rápida: PIB e exportações;Sim;;01/04/2022;30/06/2022;90;0;111;Estudos Prospetivos;Entregável;12/10/2023 04:24;João Pinto Dutra;False
AT/001/PR/075/2022;7.0;;112;PR/075/2022;Workshop 1 da OCDE sobre prospetiva;Sim;;01/04/2022;30/05/2022;59;0;112;Promover a literacia em prospetiva;Evento;12/10/2023 04:24;João Pinto Dutra;False
AT/002/PR/075/2022;7.0;;112;PR/075/2022;Sessão colaborativa 2 da OCDE (com mais de 20 entidades ao vivo);Sim;;01/09/2022;30/10/2022;59;0;112;Promover a literacia em prospetiva;Evento;12/10/2023 04:24;João Pinto Dutra;False
AT/001/PR/078/2022;6.0;;115;PR/078/2022;Regulamento Interno;Sim;;01/07/2023;01/07/2022;%23Nome?;0;115;Regulamentos internos;Entregável;12/10/2023 04:28;João Pinto Dutra;False
AT/002/PR/078/2022;7.0;;115;PR/078/2022;Regulamento de período experimental;Sim;;01/02/2022;31/03/2022;58;0;115;Regulamentos internos;Entregável;12/10/2023 04:29;João Pinto Dutra;False
AT/003/PR/078/2022;7.0;;115;PR/078/2022;Regulamento da Formação;Sim;;01/05/2022;31/05/2022;30;0;115;Regulamentos internos;Entregável;12/10/2023 04:28;João Pinto Dutra;False
AT/004/PR/078/2022;7.0;;115;PR/078/2022;Regulamento do Fundo de Maneio;Sim;;27/07/2022;27/09/2022;62;0;115;Regulamentos internos;Entregável;12/10/2023 04:28;João Pinto Dutra;False
AT/005/PR/078/2022;6.0;;115;PR/078/2022;Regulamento sobre atribuição e uso de equipamentos móveis;Sim;;06/09/2022;30/09/2022;24;0;115;Regulamentos internos;Entregável;12/10/2023 04:28;João Pinto Dutra;False
AT/001/PR/079/2022;7.0;;116;PR/079/2022;Levantamento de requisitos funcionais;Sim;;01/03/2023;01/04/2023;31;0;116;Sistema de Gestão Documental;Atividade;12/10/2023 04:29;João Pinto Dutra;False
